full_model_name,msrp,object_type,object_name,object_texture
PRF-3DB24,$236.90,door,3DB24,PRF
PRF-3DB27,$266.69,door,3DB27,PRF
PRF-3DB30,$296.36,door,3DB30,PRF
PRF-3DB36,$355.93,door,3DB36,PRF
PRF-B09FD,$88.78,door,B09FD,PRF
PRF-B12,$118.34,door,B12,PRF
PRF-B12FD,$118.34,door,B12FD,PRF
PRF-B15,$148.24,door,B15,PRF
PRF-B15FD,$148.24,door,B15FD,PRF
PRF-B18,$178.02,door,B18,PRF
PRF-B18FD,$178.02,door,B18FD,PRF
PRF-B21,$207.92,door,B21,PRF
PRF-B21FD,$207.92,door,B21FD,PRF
PRF-B24,$236.90,door,B24,PRF
PRF-B24FD,$236.90,door,B24FD,PRF
PRF-B27,$266.80,door,B27,PRF
PRF-B27FD,$266.80,door,B27FD,PRF
PRF-B30,$296.59,door,B30,PRF
PRF-B30FD,$296.59,door,B30FD,PRF
PRF-B33,$326.49,door,B33,PRF
PRF-B33FD,$326.49,door,B33FD,PRF
PRF-B36,$356.39,door,B36,PRF
PRF-B36FD,$356.39,door,B36FD,PRF
PRF-BBC36-42FD,$208.61,door,BBC36-42FD,PRF
PRF-BBC42-45FD,$238.51,door,BBC42-45FD,PRF
PRF-BEP24,$285.55,door,BEP24,PRF
PRF-BEP26,$297.16,door,BEP26,PRF
PRF-BLS33,$162.27,door,BLS33,PRF
PRF-BLS36,$222.07,door,BLS36,PRF
PRF-BSR06,$58.77,door,BSR06,PRF
PRF-BSR09,$88.78,door,BSR09,PRF
PRF-BSR12,$0,door,BSR12,PRF
PRF-BTC18,$178.02,door,BTC18,PRF
PRF-DWR3,$311.54,door,DWR3,PRF
PRF-Edgebanding,$4.60,door,Edgebanding,PRF
PRF-FSB36,$356.39,door,FSB36,PRF
PRF-FVDB12,$0,door,FVDB12,PRF
PRF-FVDB15,$0,door,FVDB15,PRF
PRF-FVDB18,$0,door,FVDB18,PRF
PRF-FVDB21,$0,door,FVDB21,PRF
PRF-FVDB24,$0,door,FVDB24,PRF
PRF-FVDB30,$0,door,FVDB30,PRF
PRF-FVDB36,$0,door,FVDB36,PRF
PRF-FVSB24,$0,door,FVSB24,PRF
PRF-FVSB30,$0,door,FVSB30,PRF
PRF-FVSB36,$0,door,FVSB36,PRF
PRF-IP9648,$626.64,door,IP9648,PRF
PRF-MB30,$297.97,door,MB30,PRF
PRF-MOC3084,$503.01,door,MOC3084,PRF
PRF-MOC3090,$532.80,door,MOC3090,PRF
PRF-MOC3096,$562.58,door,MOC3096,PRF
PRF-OCM8,$57.62,door,OCM8,PRF
PRF-PC1584,$394.57,door,PC1584,PRF
PRF-PC1590,$424.47,door,PC1590,PRF
PRF-PC1596,$454.25,door,PC1596,PRF
PRF-PC1884,$474.15,door,PC1884,PRF
PRF-PC1890,$510.03,door,PC1890,PRF
PRF-PC1896,$545.91,door,PC1896,PRF
PRF-PC2484,$630.09,door,PC2484,PRF
PRF-PC2490,$677.70,door,PC2490,PRF
PRF-PC2496,$725.42,door,PC2496,PRF
PRF-PC3084,$789.13,door,PC3084,PRF
PRF-PC3090,$848.82,door,PC3090,PRF
PRF-PC3096,$908.62,door,PC3096,PRF
PRF-REF9624,$598.35,door,REF9624,PRF
PRF-Sample Door,$48,door,Sample Door,PRF
PRF-SB30,$296.59,door,SB30,PRF
PRF-SB33,$326.49,door,SB33,PRF
PRF-SB36,$356.39,door,SB36,PRF
PRF-SB42,$416.07,door,SB42,PRF
PRF-SM8,$44.85,door,SM8,PRF
PRF-TEP9634,$770.50,door,TEP9634,PRF
PRF-TEP9636,$793.96,door,TEP9636,PRF
PRF-TF396,$125.24,door,TF396,PRF
PRF-TF696,$250.47,door,TF696,PRF
PRF-TK8,$90.97,door,TK8,PRF
PRF-VDB12-3,$117.88,door,VDB12-3,PRF
PRF-VDB15-3,$147.66,door,VDB15-3,PRF
PRF-VDB18-3,$177.33,door,VDB18-3,PRF
PRF-VDB21-3,$207.12,door,VDB21-3,PRF
PRF-VDK24,$47,door,VDK24,PRF
PRF-VDK30,$59,door,VDK30,PRF
PRF-VEP21,$250.93,door,VEP21,PRF
PRF-VSB24,$236.90,door,VSB24,PRF
PRF-VSB27,$266.80,door,VSB27,PRF
PRF-VSB30,$296.59,door,VSB30,PRF
PRF-VSB36,$356.39,door,VSB36,PRF
PRF-W0930,$88.78,door,W0930,PRF
PRF-W0936,$106.61,door,W0936,PRF
PRF-W0942,$124.43,door,W0942,PRF
PRF-W1230,$118.80,door,W1230,PRF
PRF-W1236,$142.60,door,W1236,PRF
PRF-W1242,$166.41,door,W1242,PRF
PRF-W1530,$148.70,door,W1530,PRF
PRF-W1536,$178.60,door,W1536,PRF
PRF-W1542,$208.50,door,W1542,PRF
PRF-W1830,$178.71,door,W1830,PRF
PRF-W1836,$214.59,door,W1836,PRF
PRF-W1842,$250.47,door,W1842,PRF
PRF-W2130,$208.73,door,W2130,PRF
PRF-W2136,$250.59,door,W2136,PRF
PRF-W2142,$292.45,door,W2142,PRF
PRF-W2430,$237.48,door,W2430,PRF
PRF-W2436,$285.20,door,W2436,PRF
PRF-W2442,$332.81,door,W2442,PRF
PRF-W2730,$267.49,door,W2730,PRF
PRF-W2736,$321.20,door,W2736,PRF
PRF-W2742,$374.90,door,W2742,PRF
PRF-W3012,$118.22,door,W3012,PRF
PRF-W301224,$118.22,door,W301224,PRF
PRF-W3015,$148.12,door,W3015,PRF
PRF-W301524,$148.12,door,W301524,PRF
PRF-W3018,$178.02,door,W3018,PRF
PRF-W301824,$178.02,door,W301824,PRF
PRF-W3021,$207.92,door,W3021,PRF
PRF-W302124,$207.92,door,W302124,PRF
PRF-W3024,$237.71,door,W3024,PRF
PRF-W302424,$237.71,door,W302424,PRF
PRF-W3030,$297.51,door,W3030,PRF
PRF-W3036,$357.19,door,W3036,PRF
PRF-W3042,$416.88,door,W3042,PRF
PRF-W3330,$327.41,door,W3330,PRF
PRF-W3336,$393.19,door,W3336,PRF
PRF-W3342,$458.97,door,W3342,PRF
PRF-W3612,$142.14,door,W3612,PRF
PRF-W361224,$142.14,door,W361224,PRF
PRF-W3615,$178.02,door,W3615,PRF
PRF-W361524,$178.02,door,W361524,PRF
PRF-W3618,$213.90,door,W3618,PRF
PRF-W361824,$213.90,door,W361824,PRF
PRF-W3621,$249.78,door,W3621,PRF
PRF-W362124,$249.78,door,W362124,PRF
PRF-W3624,$285.66,door,W3624,PRF
PRF-W362424,$285.66,door,W362424,PRF
PRF-W3630,$357.42,door,W3630,PRF
PRF-W3636,$429.18,door,W3636,PRF
PRF-W3642,$500.94,door,W3642,PRF
PRF-WBC2730,$118.80,door,WBC2730,PRF
PRF-WBC2736,$142.60,door,WBC2736,PRF
PRF-WBC2742,$166.41,door,WBC2742,PRF
PRF-WBC3030,$0,door,WBC3030,PRF
PRF-WBC3036,$0,door,WBC3036,PRF
PRF-WBC3042,$0,door,WBC3042,PRF
PRF-WBC3630,$208.73,door,WBC3630,PRF
PRF-WBC3636,$250.59,door,WBC3636,PRF
PRF-WBC3642,$292.45,door,WBC3642,PRF
PRF-WBF2430,$237.71,door,WBF2430,PRF
PRF-WBF2730,$267.61,door,WBF2730,PRF
PRF-WBF3030,$297.51,door,WBF3030,PRF
PRF-WBF3630,$357.19,door,WBF3630,PRF
PRF-WBF3630,$357.19,door,WBF3630,PRF
PRF-WDC2430,$145.94,door,WDC2430,PRF
PRF-WDC2436,$175.26,door,WDC2436,PRF
PRF-WDC2442,$204.59,door,WDC2442,PRF
PRF-WDC2730,$188.03,door,WDC2730,PRF
PRF-WDC2736,$225.86,door,WDC2736,PRF
PRF-WDC2742,$263.58,door,WDC2742,PRF
PRF-WEP1330,$158.01,door,WEP1330,PRF
PRF-WEP1336,$165.60,door,WEP1336,PRF
PRF-WEP1342,$207.23,door,WEP1342,PRF
PRF-WER2430,$202.98,door,WER2430,PRF
PRF-WER2436,$243.80,door,WER2436,PRF
PRF-WER2442,$284.51,door,WER2442,PRF
PRF-WF330,$39.10,door,WF330,PRF
PRF-WF336,$46.92,door,WF336,PRF
PRF-WF342,$54.74,door,WF342,PRF
PRF-WF630,$78.20,door,WF630,PRF
PRF-WF636,$93.96,door,WF636,PRF
PRF-WF642,$109.60,door,WF642,PRF
PRF-WSL3012,$118.80,door,WSL3012,PRF
PRF-WSL3015,$148.70,door,WSL3015,PRF
PRF-WSL3018,$178.71,door,WSL3018,PRF
PRF-WSL3021,$208.73,door,WSL3021,PRF
PRF-WSL3612,$142.60,door,WSL3612,PRF
PRF-WSL3615,$178.60,door,WSL3615,PRF
PRF-WSL3618,$214.59,door,WSL3618,PRF
PRF-WSL3621,$250.59,door,WSL3621,PRF
